In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
RHOQ	CCDC170	
LOC421419	LOC121113169	
BTBD9	RSPH3	
TCTE1	PEX7	
RSPH9	AHI1	
EPHX1L	MYB	
DLK2	TCF21	
SRD5A2	EYA4	
EFCAB2	ENPP3	
ADSS2	THEMIS	
LOC112530621	KIAA0408	
LOC421506	CENPW	
EDARADD	LOC121110507	
SLC35F3	NKAIN2	
MLK4	MCM9	
SIPA1L2	ROS1	
DISC1	FAM26E	
CAPN9	DDO	
C1orf198	AK9	
FAM89A	PPIL6	
SMOC2	LOC101748060	
FRMD1	ARMC2	
KIF25	LOC107053100	
UNC93A	CD24	
TCP10	FHL5	
CCR6	CFAP206	
TBXT	PRSS35	
PACRG	TTK	
FNDC1	LCA5	
ADGB	LOC421856	
LRP11	HTR1B	
CCDC170	FILIP1	
CNKSR3	LOC121113194	
RSPH3	CGAS	
ADGRG6	DDX43	
NHSL1	B3GAT2	
IL22RA2	COL9A1	
PEX7	KHDRBS2	
MAP7	LOC121113198	
MYB	COL21A1	
TCF21	BMP5	
EYA4	GSTA4	
ENPP1	LOC100859645	
THEMIS	LOC395611	
KIAA0408	SH3YL1	
RSPO3	RSAD2	
LOC112532128	LOC421935	
CENPW	RRM2	
TRMT11	C2orf50	
TPD52L1	FAM84A	
FABP7	MYCN	
PLN	FAM49A	
ROS1	OSR1	
DDO	FKBP1B	
PPIL6	SLC30A3	
LOC101748060	GVINP1	
LOC107053100	LOC100857686	
CD24	PBK	
AIM1	DRC1	
BVES	LOC426385	
FHL5	FBXO16	
CFAP206	FZD3	
TTK	BLK	
FILIP1	AvBD7	
LOC121113194	AvBD6	
DDX43	DEFB4A	
B3GAT2	AvBD1	
COL9A1	CRISP2	
LOC121113198	KIF4B	
BMP5	P2RY10	
LRRC1	GPR174	
LOC396380	SASH3	
GSTA4	ERCC6L	
LOC100859645	PIH1D3	
GSTA2	CENPI	
SH3YL1	FHL1	
ACP1	CD40LG	
LOC421935	LOC101749809	
RRM2	EDNRB2	
C2orf50	GLOD5	
FAM84A	LOC422308	
OSR1	RASL11AL	
FKBP1B	CAPN6	
TP53I3	LOC121110638	
CGREF1	SH2D1A	
GVINP1	AKAP14	
PBK	CRACD	
DRC1	PASD1	
FZD3	FAM198B	
BLK	LOC100859304	
AvBD10	APELA	
AvBD7	SPOCK3	
AvBD6	ANXA10	
DEFB4A	DDX60	
AvBD1	SLC7A11	
AvBD5	MGST2	
AvBD4	CLGN	
CRISP2	MGAT4D	
ANKRD66	ELMOD2	
INPPL1	TBC1D9	
KIF4B	LOC112532278	
LOC422150	TTC29	
LPAR4	IQCM	
P2RY10	TMEM154	
GPR174	PLK4	
SASH3	CXCL13	
CCNB3	CXCL13L2	
PIH1D3	CXCL13L3	
AIPL1	CCSER1	
DRP2	ARHGEF38	
CENPI	WDR17	
GJB1	SPATA4	
IL13RA2	PLACL2	
FHL1	DUSP4	
MCF2	CLDN23	
CLDN2	PRAG1	
EDNRB2	MOB1B	
LOC422308	DCK	
C8orf48	LOC422654	
RASL11AL	CETN2	
CAPN6	CCNA2	
LOC121110638	FABP2	
SH2D1A	SLC39A8	
AKAP14	CENPE	
CRACD	LOC107049033	
PASD1	C4orf47	
TLR2A	FAM149A	
FGB	PPAT	
FAM198B	LNX1	
LOC100859304	SPATA18	
1-Mar	BEND4	
APELA	NSUN7	
SPOCK3	RHOH	
CLGN	LOC121110719	
MGAT4D	TLR1A	
ELMOD2	DTHD1	
TBC1D9	KCNIP4	
TMEM154	PACRGL	
FHDC1	CRMP1	
CDKL2	CCDC96	
PLK4	AFAP1	
CXCL13	ABLIM2	
CXCL13L2	SOHO1	
CXCL13L3	DOK7	
COL25A1	CFAP99	
ARHGEF38	SPON2	
WDR17	LOC100857206	
SPATA4	LOC100857817	
IBSP	LOC121113235	
PLACL2	LOC107049163	
COQ2	LOC121110774	
DUSP4	LOC121106480	
CLDN23	LOC121110778	
PRAG1	LOC101749090	
NAAA	LOC107052288	
JCHAIN	ALMS1	
MOB1B	CPXM1	
DCK	C4H2orf81	
RASSF6	LOC107056412	
CETN2	CD6	
CCNA2	ALDH3B2	
QRFPR	AGBL2	
TNIP3	DRD4	
FABP2	BUB1B	
SEC24D	KNL1	
ADH6	CYP1C1	
DAPP1	ANO9	
BANK1	B4GALNT4	
SLC39A8	E2F8	
LOC107049033	KIF18A	
FAM149A	KCNA4	
PPAT	SYT9	
LNX1	OLFML1	
USP46	CYB5R2	
SPATA18	RASSF10	
BEND4	SWAP70	
NSUN7	SCUBE2	
TLR1A	C11orf16	
DTHD1	TUB	
TBC1D19	PLEKHA7	
SLC34A2	USH1C	
KCNIP4	FTL	
PACRGL	SAA	
PROM1	SLC22A18	
FGFBP1	TNNT3	
CC2D2A	LSP1P1	
CCDC96	TNNI2	
AFAP1	MUC5L	
ABLIM2	MUC5ACL	
SOHO1	LRRC56	
CFAP99	LOC107053423	
SPON2	FADS2	
ATOH8	MPEG1	
LOC121113235	INCENP	
LOC107049168	TPCN2	
LOC107049163	ANO1	
LOC121106480	SHANK2	
LOC107052288	LOC121113263	
ALMS1	ELF5	
C4H2orf81	EHF	
CARNS1	SLC1A2	
LOC107056412	PAMR1	
ALDH3B2	FJX1	
AGBL2	LOC121113283	
BUB1B	MDK	
KNL1	CREB3L1	
ANO9	RHOV	
B4GALNT4	OIP5	
E2F8	NUSAP1	
CCDC34	LOC771422	
KCNA4	PTGR2	
FSHB	DNAL1	
SYT9	LOC121111003	
OLFML1	SIPA1L1	
CYB5R2	PLEK2	
SWAP70	MPP5	
SCUBE2	FSIP1	
NRIP2	LOC107053497	
C11orf16	GREM1	
TUB	ACTC1	
PLEKHA7	GJD2	
FTL	LOC112531814	
SAA	G2E3	
LSP1P1	EGLN3	
TNNI2	PAX9	
MUC5L	TTC6	
FADS2	VRTN	
LPXN	TGFB3	
INCENP	IFT43	
ANO1	SAMD15	
SHANK2	DIO2	
LOC121113263	STON2	
ELF5	FLRT2	
EHF	GPR65	
SLC1A2	TTC8	
FJX1	EFCAB11	
SPI1	PPP4R4	
PACSIN3	DICER1	
LOC121113283	BDKRB2	
MDK	AK7	
CREB3L1	BCL11B	
RHOV	HSP90AA1	
NUSAP1	TNFAIP2	
LOC771422	ASPG	
WDR62	KIF26A	
DNAL1	C14orf180	
LOC121111003	AKT1	
RAD51B	PLD4	
TMEM229B	AKAP5	
PLEK2	SIX1	
MPP5	GMFB	
FSIP1	DNAAF2	
LOC107053497	CDKL1	
GREM1	SOUL	
LOC112531814	LOC768416	
EGLN3	LOC107053612	
PAX9	FAM13C	
IFT43	PHYHIPL	
SAMD15	DYDC2	
STON2	SFTPA1	
GPR65	RTKN2	
TTC8	CABCOCO1	
PPP4R4	CDK1	
DICER1	LOC770890	
CLMN	PRKG1	
C14orf132	LOC112532686	
BDKRB2	STOX1	
AK7	SCD	
C14orf180	MSMB	
AKT1	GDF10	
PLD4	FRMPD2	
SIX1	LOC121111225	
GMFB	ARHGAP22	
DNAAF2	LRRC18	
CDKL1	VSTM4	
DDHD1	C10orf128	
SOUL	ANKRD22	
LOC107053612	KIF20B	
FAM13C	ANKRD1	
PHYHIPL	SLC35G1	
BICC1	FFAR4	
DYDC2	CEP55	
MAT1A	KIF11	
LOC423629	KNDC1	
SFTPA1	LOC428967	
SFTPA2	NKX2-3	
CABCOCO1	ARHGAP19	
CDK1	KAZALD1	
ANK3	LOC107053690	
RNASE6	STN1	
RSFR	COL17A1	
PRKG1	CFAP43	
DKK4	CFAP58	
LOC112532686	ENO4	
DNA2	SHTN1	
LRMDA	RAB11FIP2	
PIK3AP1	RGS10	
SCD	PLPP4	
MSMB	TACC2	
FRMPD2	ADAM9L	
LOC121111225	CPXM2	
ARHGAP22	C10orf90	
WDFY4	FAM196A	
VSTM4	MKI67	
C10orf128	STK32C	
ANKRD22	SLC40A1	
STAMBPL1	COL3A1	
FFAR4	FRZB	
KNDC1	CPS1	
LOC428967	IKZF2	
ENTPD1	SPAG16	
ARHGAP19	VWC2L	
DPCD	BARD1	
KAZALD1	MLPH	
NEURL1	COL6A3	
STN1	IQCA1	
COL17A1	TRAF3IP1	
