Geneid	BT1	BT2	BT3	BT4	BT5	CH1	CH2	CH3	CH4	CH5	HT1	HT2	HT3	HT4	HT5	LS1	LS2	LS3	LS4	LS5	LT1	LT2	LT3	LT4	LT5	QY1	QY2	QY3	QY4	QY5
TMEM204	21.668	18.285	76.433	35.604	21.773	22.889	36.362	6.849	31.591	32.541	95.384	123.955	74.088	53.818	48.629	26.322	20.963	32.406	46.299	27.502	29.256	24.233	26.526	38.391	21.941	29.101	24.973	87.547	79.720	10.701
TELO2	6.630	5.228	6.192	5.076	6.980	7.668	5.339	6.590	5.867	5.498	6.612	5.781	4.376	6.206	6.376	7.818	4.176	5.271	6.046	3.957	5.155	5.756	5.834	5.540	6.323	6.026	5.847	6.988	7.157	7.624
RNPS1	32.949	35.255	35.070	34.278	34.745	39.150	29.626	39.653	31.181	36.373	28.367	27.929	29.473	25.008	26.891	44.974	30.978	38.663	38.878	32.321	29.189	28.709	33.436	36.795	34.129	36.552	34.893	31.773	26.229	42.589
LOC416755	1.690	2.709	2.116	3.199	1.618	0.561	1.851	3.051	1.217	1.206	0.842	1.760	0.743	2.020	1.901	1.452	2.507	1.460	1.344	1.846	1.923	1.712	1.762	1.817	2.286	1.011	1.034	1.887	1.721	4.474
LOC121106813	0.996	0.799	0.909	1.801	0.321	0.228	27.708	0.488	2.456	0.912	0.791	1.346	0.703	0.450	0.529	0.530	0.455	0.324	0.260	0.000	0.476	0.648	0.419	0.528	0.421	3.202	2.098	1.330	1.857	2.749
AMDHD2	11.301	14.267	18.239	18.128	17.194	10.792	18.504	15.863	16.313	14.021	22.821	22.393	23.913	17.173	13.754	10.325	13.514	13.156	14.492	14.486	13.835	19.475	15.196	17.985	12.260	13.170	14.922	22.164	18.483	10.939
ATP6V0C	77.006	103.046	126.280	93.594	73.986	69.473	94.320	112.921	120.971	86.515	109.640	154.904	110.618	112.872	103.155	72.577	69.500	73.315	59.172	81.046	72.435	114.646	77.023	94.298	71.211	66.928	86.940	127.317	110.079	95.187
TBC1D24	6.399	6.125	6.762	7.659	6.219	7.808	6.668	8.802	7.220	7.340	6.049	5.179	5.673	7.808	7.372	6.625	6.827	7.645	6.430	7.512	6.286	7.829	6.488	5.513	7.021	7.130	8.144	6.092	5.984	7.170
NTN3	1.157	8.889	6.029	7.540	0.643	0.757	4.951	4.125	5.827	2.857	3.820	2.299	1.299	4.891	5.150	0.566	1.782	1.472	0.778	5.359	2.747	6.573	3.765	4.259	2.413	1.699	6.826	6.029	6.740	1.804
NOG2	5.838	1.927	5.402	6.747	6.092	4.127	10.421	3.090	6.045	3.782	6.981	7.386	4.275	2.617	3.910	1.532	9.313	5.585	4.465	4.530	3.124	5.269	1.197	1.246	2.774	6.216	0.937	5.377	3.561	1.017
ANKFN1L	0.730	1.139	1.127	1.128	0.911	1.143	1.215	1.332	0.862	1.179	0.608	0.754	0.378	0.589	0.722	0.621	1.221	0.711	0.730	0.719	1.092	0.809	1.019	0.699	1.069	0.782	0.588	0.694	1.286	1.709
LOC770617	7.567	18.048	17.242	17.196	12.904	15.233	27.675	19.651	26.628	15.506	8.459	9.938	10.637	16.460	17.408	22.006	14.258	15.651	12.865	22.030	16.589	15.960	13.971	12.945	12.823	14.002	23.265	14.624	13.293	21.808
LOC121106815	3.724	12.507	14.824	15.101	8.765	9.513	21.142	10.275	18.691	8.986	3.652	5.471	4.651	10.698	9.686	14.919	10.545	9.499	8.415	16.831	11.247	8.577	8.249	8.756	8.326	8.540	16.420	8.589	7.860	16.635
CCNF	1.238	1.816	3.751	3.042	1.448	1.064	2.237	2.888	1.415	0.484	2.490	2.326	1.192	0.726	0.867	1.402	0.456	1.274	1.212	1.507	2.079	2.311	2.827	3.026	2.063	1.533	1.938	2.236	2.615	3.664
VRK3	15.933	29.954	30.708	36.233	11.343	11.514	35.052	31.285	28.544	15.642	36.723	32.556	25.661	31.975	33.978	10.376	16.289	11.438	12.060	17.437	33.412	27.315	28.562	29.687	22.794	11.961	25.192	28.623	29.510	32.435
LOC121106817	0.077	0.028	0.041	0.031	0.000	0.000	0.000	0.077	0.000	0.000	0.074	0.062	0.012	0.122	0.228	0.000	0.144	0.000	0.000	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.158
LOC107057021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000
LOC121106821	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000
LOC121106823	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.151	0.000	0.086	0.000	0.000
LOC121106820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.029	0.000	0.000	0.000	0.000	0.000
LOC121106819	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121106818	0.000	0.000	0.000	0.000	0.000	0.000	0.039	0.000	0.105	0.000	0.197	0.021	0.339	0.123	0.183	0.135	0.000	0.075	0.000	0.000	0.032	0.000	0.140	0.058	0.038	0.050	0.031	0.000	0.000	0.106
LOC121106761	0.172	0.063	0.074	0.042	0.085	0.000	0.000	0.058	0.000	0.068	0.026	0.034	0.005	0.356	0.409	0.000	0.150	0.188	0.129	0.320	0.000	0.025	0.028	0.059	0.205	0.151	0.010	0.067	0.010	0.027
LOC121106824	1.181	0.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.008	1.807	0.000	0.950	0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121106822	0.339	0.000	0.273	0.155	0.316	0.000	0.000	0.214	0.000	0.253	0.098	0.102	0.000	0.759	0.908	0.000	0.477	0.648	0.477	1.183	0.000	0.093	0.104	0.217	0.758	0.498	0.000	0.213	0.036	0.033
MAPK8IP3	3.349	8.602	10.429	11.018	6.156	3.348	9.894	7.246	8.661	3.909	9.576	7.604	4.062	11.530	9.943	4.416	4.600	3.670	2.288	5.210	9.711	6.436	7.037	7.221	5.304	2.892	7.675	9.977	10.689	8.366
MRPS34	53.477	64.622	71.127	74.407	60.532	74.771	77.939	81.289	76.135	75.615	109.246	95.994	73.827	70.806	71.337	88.490	90.010	90.796	70.089	70.541	72.462	67.460	71.108	71.183	79.859	88.351	67.366	83.188	90.755	71.000
GLYR1	20.436	16.107	20.357	16.789	21.957	30.578	19.509	17.079	14.283	23.189	20.722	21.292	10.384	15.385	16.117	30.650	31.877	23.985	31.905	22.722	19.098	18.775	20.744	20.956	20.866	20.528	20.610	24.630	19.947	19.683
ROGDI	6.876	6.342	6.128	7.785	5.676	4.486	7.431	7.198	6.896	5.798	9.448	8.476	6.625	6.132	5.574	3.956	3.573	8.673	7.834	10.835	7.284	7.290	7.025	7.495	7.036	3.728	7.374	7.174	5.874	6.917
MCHR2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.007	0.000	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026	0.013	0.018	0.000	0.000	0.000	0.000	0.000
ACSM4	0.000	0.000	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.020	0.000	0.039	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.000	0.059	0.027	0.027	0.000
ACSM5	0.033	0.036	0.053	0.000	0.346	0.000	0.153	0.100	0.025	0.000	0.019	0.060	0.045	0.119	0.296	0.348	0.373	0.435	0.693	0.360	0.000	0.036	0.027	0.000	0.037	0.146	0.000	0.083	0.000	0.000
PDILT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.049	0.000	0.000
GPR139	0.000	0.380	0.278	0.000	0.129	0.122	0.298	0.000	0.066	0.344	0.050	0.052	0.000	0.000	0.000	0.000	0.000	0.189	0.139	0.535	0.241	0.094	0.071	0.221	0.096	0.000	0.000	0.433	0.145	0.200
GPRC5B	0.786	1.748	2.241	1.754	0.928	0.556	1.735	0.826	1.194	0.686	1.548	3.641	0.686	4.425	3.833	0.860	1.137	0.483	0.633	1.068	1.113	1.183	0.779	1.063	0.934	0.433	1.022	2.880	1.792	1.521
IQCK	0.523	0.503	0.352	0.411	0.306	0.328	0.526	0.574	0.356	0.423	0.596	0.698	0.385	0.657	0.627	0.313	0.460	0.398	0.427	0.319	0.579	0.362	0.527	0.583	0.533	0.379	0.377	0.483	0.563	1.123
